----------------------------------------
[23.12.2020 | 11:24:34] All frames loaded, count: 825
[23.12.2020 | 11:24:34] Binarization frame 0 complete!
[23.12.2020 | 11:24:34] Binarization frame 1 complete!
[23.12.2020 | 11:24:34] Binarization frame 2 complete!
[23.12.2020 | 11:24:34] Binarization frame 3 complete!
[23.12.2020 | 11:24:34] Binarization frame 4 complete!
[23.12.2020 | 11:24:34] Binarization frame 5 complete!
[23.12.2020 | 11:24:34] Binarization frame 6 complete!
[23.12.2020 | 11:24:34] Binarization frame 7 complete!
[23.12.2020 | 11:24:34] Binarization frame 8 complete!
[23.12.2020 | 11:24:34] Binarization frame 9 complete!
[23.12.2020 | 11:24:34] Binarization frame 10 complete!
[23.12.2020 | 11:24:34] Binarization frame 11 complete!
[23.12.2020 | 11:24:34] Binarization frame 12 complete!
[23.12.2020 | 11:24:34] Binarization frame 13 complete!
[23.12.2020 | 11:24:34] Binarization frame 14 complete!
[23.12.2020 | 11:24:34] Binarization frame 15 complete!
[23.12.2020 | 11:24:34] Binarization frame 16 complete!
[23.12.2020 | 11:24:34] Binarization frame 17 complete!
[23.12.2020 | 11:24:34] Binarization frame 18 complete!
[23.12.2020 | 11:24:34] Binarization frame 19 complete!
[23.12.2020 | 11:24:34] Binarization frame 20 complete!
[23.12.2020 | 11:24:34] Binarization frame 21 complete!
[23.12.2020 | 11:24:34] Binarization frame 22 complete!
[23.12.2020 | 11:24:34] Binarization frame 23 complete!
[23.12.2020 | 11:24:34] Binarization frame 24 complete!
[23.12.2020 | 11:24:34] Binarization frame 25 complete!
[23.12.2020 | 11:24:34] Binarization frame 26 complete!
[23.12.2020 | 11:24:34] Binarization frame 27 complete!
[23.12.2020 | 11:24:34] Binarization frame 28 complete!
[23.12.2020 | 11:24:34] Binarization frame 29 complete!
[23.12.2020 | 11:24:34] Binarization frame 30 complete!
[23.12.2020 | 11:24:34] Binarization frame 31 complete!
[23.12.2020 | 11:24:34] Binarization frame 32 complete!
[23.12.2020 | 11:24:34] Binarization frame 33 complete!
[23.12.2020 | 11:24:34] Binarization frame 34 complete!
[23.12.2020 | 11:24:34] Binarization frame 35 complete!
[23.12.2020 | 11:24:34] Binarization frame 36 complete!
[23.12.2020 | 11:24:34] Binarization frame 37 complete!
[23.12.2020 | 11:24:34] Binarization frame 38 complete!
[23.12.2020 | 11:24:34] Binarization frame 39 complete!
[23.12.2020 | 11:24:34] Binarization frame 40 complete!
[23.12.2020 | 11:24:34] Binarization frame 41 complete!
[23.12.2020 | 11:24:34] Binarization frame 42 complete!
[23.12.2020 | 11:24:34] Binarization frame 43 complete!
[23.12.2020 | 11:24:34] Binarization frame 44 complete!
[23.12.2020 | 11:24:34] Binarization frame 45 complete!
[23.12.2020 | 11:24:34] Binarization frame 46 complete!
[23.12.2020 | 11:24:34] Binarization frame 47 complete!
[23.12.2020 | 11:24:34] Binarization frame 48 complete!
